PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PUBLIC	NSW	BARRABA MULTI PURPOSE SERVICE	0010620Y	EDWARD STREET	BARRABA	2347																																												
PRIVATE	ACT	BARTON PRIVATE HOSPITAL	0097000X	"2/9 SYDNEY AVENUE &
18 NATIONAL CIRCUIT, (BARTON WARD AT HOTEL REALM)"	BARTON	2600																																												
PUBLIC	VIC	BARWON HEALTH - ASHLEY MANOR CAMPUS	0032040T	1 SUMMIT AVENUE	BELMONT	3216																																												
PUBLIC	VIC	BARWON HEALTH - GEELONG HOSPITAL CAMPUS	0030470J	BELLERINE STREET	GEELONG	3220																																												
PUBLIC	VIC	BARWON HEALTH - MCKELLAR CENTRE CAMPUS	0034090K	45-95 BALLARAT ROAD	NORTH GEELONG	3215																																												
PUBLIC	VIC	BARWON HEALTH - NEWCOMB RENAL UNIT CAMPUS	0032060K	104 BELLARINE HIGHWAY	NEWCOMB	3219																																												
PUBLIC	VIC	BARWON HEALTH - SOUTH GEELONG RENAL UNIT CAMPUS	0032070J	40 LT FYANS STREET	SOUTH GEELONG	3220																																												
PUBLIC	VIC	BARWON HEALTH NORTH	0032170F	155 PRINCESS HIGHWAY	NORLANE	3214																																												
PUBLIC	VIC	BASS COAST REGIONAL HEALTH	0031400T	235 GRAHAM STREET	WONTHAGGI	3995																																												
PUBLIC	NSW	BATEMANS BAY HOSPITAL	0010640W	7 PACIFIC STREET	BATEMANS BAY	2536																																												
PUBLIC	NSW	BATHURST BASE HOSPITAL	0010650T	361-365 HOWICK STREET	BATHURST	2795																																												
PRIVATE	NSW	BATHURST PRIVATE HOSPITAL	0017100K	GORMAN'S HILL ROAD	BATHURST	2795																																												
PUBLIC	NSW	BATLOW/ADELONG MULTI PURPOSE SERVICE	0010660L	61-81 PIONEER STREET	BATLOW	2730																																												
PRIVATE	VIC	BAYSIDE DAY PROCEDURE AND SPECIALIST CENTRE	0043570J	141 CRANBOURNE ROAD	FRANKSTON	3199																																												
PRIVATE	VIC	BAYSIDE ENDOSCOPY DAY HOSPITAL	0895011H	441 SOUTH ROAD	BENTLEIGH	3204																																												
PUBLIC	TAS	BEACONSFIELD DISTRICT HEALTH SERVICE	0080080J	13 BOLTON STREET	BEACONSFIELD	7270																																												
PUBLIC	QLD	BEAUDESERT HOSPITAL	0050090K	64 TINA STREET	BEAUDESERT	4285																																												
PUBLIC	VIC	BEAUFORT & SKIPTON HEALTH SERVICES - BEAUFORT CAMPUS	0030990H	28 HAVELOCK STREET	BEAUFORT	3373																																												
PUBLIC	VIC	BEAUFORT & SKIPTON HEALTH SERVICES - SKIPTON CAMPUS	0030990H	BLAKE STREET	SKIPTON	3361																																												
PRIVATE	SA	BEDFORD DAY SURGERY	0067120T	1284 SOUTH ROAD	TONSLEY	5042																																												
PUBLIC	VIC	BEECHWORTH HEALTH SERVICE	0031690K	52 SYDNEY ROAD	BEECHWORTH	3747																																												
PRIVATE	VIC	BELEURA PRIVATE HOSPITAL	0036200F	925 NEPEAN HIGHWAY	MORNINGTON	3931																																												
PRIVATE	NSW	BELLA VISTA DAY HOSPITAL	0027330B	"SUITE 102, 9 NORBRIK DRIVE"	BELLA VISTA	2153																																												
PUBLIC	NSW	BELLINGER RIVER DISTRICT HOSPITAL	0010680J	43 CHURCH STREET	BELLINGEN	2454																																												
PUBLIC	NSW	BELMONT HOSPITAL	0012550B	16 CROUDACE BAY ROAD	BELMONT	2280																																												
PRIVATE	QLD	BELMONT PRIVATE HOSPITAL	0055630B	1220 CREEK ROAD	CARINA	4152																																												
PUBLIC	VIC	BENALLA HEALTH	0030110K	45-53 COSTER STREET	BENALLA	3672																																												
PRIVATE	VIC	BENDIGO DAY SURGERY	0043950X	1 CHUM STREET	BENDIGO	3554																																												
PUBLIC	VIC	BENDIGO HEALTH - THE BENDIGO HOSPITAL 	0030120J	100 BARNARD STREET	BENDIGO	3550																																												
PRIVATE	VIC	BENTLEIGH SURGICENTRE	0043850A	157 JASPER ROAD	BENTLEIGH	3204																																												
PUBLIC	WA	BENTLEY HEALTH SERVICE	0071150X	18-56 MILLS STREET	BENTLEY	6102																																												
PRIVATE	NSW	BERKELEY VALE PRIVATE HOSPITAL	0017020K	11 LORRAINE AVENUE	BERKELEY VALE	2261																																												
PUBLIC	NSW	BERRIGAN WAR MEMORIAL HOSPITAL/MULTI PURPOSE SERVICE	0010700Y	47-49 DAVIS STREET	BERRIGAN	2712																																												
PRIVATE	VIC	BERWICK SURGICENTRE	0043540T	22 LANGMORE LANE	BERWICK	3806																																												
PRIVATE	WA	BETHESDA CLINIC	0075760F	1 HONOUR WAY	COCKBURN	6164																																												
PRIVATE	WA	BETHESDA HOSPITAL	0075020X	25 QUEENSLEA DRIVE	CLAREMONT	6010																																												
PUBLIC	WA	BEVERLEY HOSPITAL	0070060H	SEWELL STREET	BEVERLEY	6304																																												
PUBLIC	QLD	BIGGENDEN MULTIPURPOSE HEALTH SERVICE	0050100B	57 ALICE STREET	BIGGENDEN	4621																																												
PUBLIC	QLD	BILOELA HOSPITAL	0050110A	2 HOSPITAL ROAD	BILOELA	4715																																												
PUBLIC	NSW	BINGARA MULTIPURPOSE SERVICE	0010710X	KEERA STREET	BINGARA	2404																																												
PUBLIC	QLD	BLACKALL HOSPITAL	0050130X	SHAMROCK STREET	BLACKALL	4472																																												
PUBLIC	NSW	BLACKTOWN HOSPITAL	0012490Y	BLACKTOWN ROAD	BLACKTOWN	2148																																												
PUBLIC	QLD	BLACKWATER HOSPITAL	0051570J	41 MACKENZIE STREET	BLACKWATER	4717																																												
PUBLIC	NSW	BLAYNEY MULTIPURPOSE SERVICE	0010720W	3 OSMAN STREET	BLAYNEY	2799																																												
PUBLIC	NSW	BLUE MOUNTAINS DISTRICT ANZAC MEMORIAL HOSPITAL	0010730T	CNR WOODLANDS AND GREAT WESTERN HIGHWAY	KATOOMBA	2780																																												
PUBLIC	WA	BODDINGTON HOSPITAL	0070070F	46-53 HOTHAM AVENUE	BODDINGTON	6390																																												
PUBLIC	NSW	BOGGABRI MULTI PURPOSE SERVICE	0010740L	3 WEE WAA STREET	BOGGABRI	2382																																												
PUBLIC	NSW	BOMBALA MULTI PURPOSE SERVICE	0010750K	126-128 WELLINGTON STREET	BOMBALA	2632																																												
PUBLIC	NSW	BONALBO HOSPITAL	0010760J	CLARENCE WAY	BONALBO	2469																																												
PRIVATE	NSW	BOND DAY HOSPITAL 	0027680B	"SUITE 2.01, 8 ELIZABETH MACARTHUR DRIVE"	BELLA VISTA	2153																																												
PRIVATE	NSW	BONDI JUNCTION ENDOSCOPY CENTRE	0836101F	56 GROSVENOR STREET	WOOLLAHRA	2025																																												
PRIVATE	NSW	BONDI JUNCTION PRIVATE HOSPITAL	0017220B	"LEVEL 1 & 2,  21 SPRING STREET"	BONDI JUNCTION	2022																																												
PUBLIC	SA	BOOLEROO CAMPUS	0060100J	5-9 STEPHENS STREET	BOOLEROO CENTRE	5482																																												
PUBLIC	QLD	BOONAH HOSPITAL	0050150T	11-17 LEONARD STREET	BOONAH	4310																																												
PUBLIC	NSW	BOOROWA MULTI PURPOSE SERVICE HOSPITAL	0010770H	62-80 DRY STREET	BOOROWA	2586																																												
PUBLIC	VIC	BOORT DISTRICT HEALTH	0030140F	31 KINIRY STREET	BOORT	3537																																												
PUBLIC	SA	BORDERTOWN MEMORIAL HOSPITAL	0060110H	23 SOUTH TERRACE	BORDERTOWN	5268																																												
PRIVATE	VIC	BOROONDARA DAY SURGERY 	0032220K	110 CHURCH STREET 	HAWTHORN	3122																																												
PUBLIC	NSW	BOURKE MULTI PURPOSE SERVICE	0010780F	26 TARCOON STREET	BOURKE	2840																																												
PUBLIC	NSW	BOURKE STREET HEALTH SERVICE GOULBURN	0012020H	234 BOURKE STREET	GOULBURN	2580																																												
PUBLIC	QLD	BOWEN HOSPITAL	0050170K	GREGORY STREET	BOWEN	4805																																												
PUBLIC	NSW	BOWRAL HOSPITAL	0010690H	150 MONA ROAD	BOWRAL	2576																																												
PUBLIC	VIC	BOX HILL HOSPITAL	0030150B	51 NELSON ROAD	BOX HILL	3128																																												
PUBLIC	WA	BOYUP BROOK SOLDIERS MEMORIAL HOSPITAL	0070080B	HOSPITAL ROAD	BOYUP BROOK	6244																																												
PUBLIC	NSW	BRAESIDE HOSPITAL	0012830W	340 PRAIRIE VALE ROAD	PRAIRIEWOOD	2176																																												
PUBLIC	NSW	BRAIDWOOD MULTI PURPOSE SERVICE	0010790B	77 MONKITTEE STREET	BRAIDWOOD	2622																																												
PUBLIC	NSW	BREWARRINA MULTI PURPOSE SERVICE	0010820L	56 DOYLE STREET	BREWARRINA	2839																																												
PUBLIC	WA	BRIDGETOWN HOSPITAL	0070090A	16-18 PENINSULA ROAD	BRIDGETOWN	6255																																												
PRIVATE	SA	BRIGHTON DAY SURGERY	0931151B	1 JETTY ROAD	BRIGHTON	5048																																												
PRIVATE	SA	BRIGHTON DIALYSIS CLINIC	0930971X	361-365 BRIGHTON RD	HOVE	5048																																												
PRIVATE	ACT	BRINDABELLA ENDOSCOPY CENTRE	0999781K	SUITE 7/5 DANN CLOSE	GARRAN	2605																																												
PRIVATE	QLD	BRISBANE DAY SURGERY	0923141F	55 LITTLE EDWARD STREET	SPRING HILL	4004																																												
PRIVATE	QLD	BRISBANE ENDOSCOPY SERVICE	0656651H	"SUITES 16 & 17 MCCULLOUGH CENTRE, 259 MCCULLOUGH STREET"	SUNNYBANK	4109																																												
PRIVATE	QLD	BRISBANE PRIVATE HOSPITAL	0055080W	259 WICKHAM TERRACE	BRISBANE	4000																																												
PRIVATE	QLD	BRISBANE PROCEDURE CENTRE 	0057550J	42 DOGGETT STREET 	NEWSTEAD	4006																																												
PRIVATE	QLD	BRISBANE SOUTH PRIVATE HOSPITAL	0057630J	4 PAXTON STREET	SPRINGWOOD	4127																																												
PRIVATE	NSW	BRISBANE WATERS PRIVATE HOSPITAL	0016930B	21 VIDLER AVENUE	WOY WOY	2256																																												
PUBLIC	VIC	BROADMEADOWS HEALTH SERVICE	0031920L	35 JOHNSTONE STREET	BROADMEADOWS	3047																																												
PRIVATE	QLD	BROADWATER PRIVATE DAY HOSPITAL	0057580B	7-11 SHORT STREET 	SOUTHPORT	4215																																												
PUBLIC	NSW	BROKEN HILL BASE HOSPITAL	0010830K	176 THOMAS STREET	BROKEN HILL	2880																																												
PUBLIC	WA	BROOME HOSPITAL	0070110L	ROBINSON STREET	BROOME	6725																																												
PUBLIC	WA	BRUCE ROCK MEMORIAL HOSPITAL	0070120K	35 DUNSTALL STREET	BRUCE ROCK	6418																																												
PRIVATE	VIC	BRUNSWICK PRIVATE HOSPITAL	0035970T	82 MORELAND ROAD	BRUNSWICK	3056																																												
PRIVATE	QLD	BUDERIM GASTROENTEROLOGY CENTRE 	0057110K	"SUITE 5, 102 WISES ROAD"	MAROOCHYDORE	4558																																												
PRIVATE	QLD	BUDERIM PRIVATE HOSPITAL	0055740X	12 ELSA WILSON DRIVE	BUDERIM	4556																																												
PUBLIC	NSW	BULAHDELAH COMMUNITY HOSPITAL	0010840J	RICHMOND STREET	BULAHDELAH	2423																																												
PUBLIC	NSW	BULLI HOSPITAL	0010850H	29 HOSPITAL ROAD	BULLI	2516																																												
PRIVATE	WA	BUNBURY DAY HOSPITAL	0077130X	140 SPENCER ST	BUNBURY	6230																																												
PUBLIC	WA	BUNBURY HOSPITAL	0071120B	CNR ROBERTSON DRIVE & BUSSELL HIGHWAY	BUNBURY	6230																																												
PUBLIC	QLD	BUNDABERG HOSPITAL	0050210X	271 -275 BOURBONG STREET	BUNDABERG	4670																																												
PRIVATE	QLD	BUNDABERG PRIVATE DAY HOSPITAL	0057530L	51 COMMERCIAL STREET	KENSINGTON	4670																																												
PUBLIC	VIC	BUNDOORA EXTENDED CARE CENTRE	0031760L	1231 PLENTY ROAD	BUNDOORA	3083																																												
PRIVATE 	SA	BURNSIDE DAY SURGERY	0067340B	"SUITE 1, 535-537 GLYNBURN ROAD"	HAZELWOOD PARK	5066																																												
PRIVATE	SA	BURNSIDE HOSPITAL STEPNEY	0065880L	32 PAYNEHAM ROAD	STEPNEY	5069																																												
PRIVATE	SA	BURNSIDE HOSPITAL TOORAK GARDENS	0065050H	120 KENSINGTON ROAD	TOORAK GARDENS	5065																																												
PUBLIC	SA	BURRA HOSPITAL	0060120F	46 COMMERCIAL STREET	BURRA	5417																																												
PUBLIC	WA	BUSSELTON HOSPITAL	0070150F	MILL ROAD	BUSSELTON	6280																																												
PUBLIC	NSW	BYRON CENTRAL HOSPITAL	0012900X	54 EWINGSDALE ROAD	EWINGSDALE	2481																																												
PUBLIC	QLD	CABOOLTURE HOSPITAL	0051830F	20 DUNCAN STREET	CABOOLTURE	4510																																												
PRIVATE	QLD	CABOOLTURE PRIVATE HOSPITAL	0055900X	MCKEAN STREET	CABOOLTURE	4510																																												
PRIVATE	NSW	CABRAMATTA DAY SURGERY	0027650J	2A CHURCH STREET	CABRAMATTA	2166																																												
PRIVATE	VIC	CABRINI BRIGHTON	0036620H	243 NEW STREET	BRIGHTON	3186																																												
PRIVATE	VIC	CABRINI MALVERN	0035790X	"181-183 WATTLETREE ROAD (MAIN CAMPUS) &
2-6 HOPETOUN ROAD, ELSTERNWICK 3185 (ELSTERNWICK CAMPUS)"	MALVERN	3144																																												
PRIVATE	VIC	CABRINI PRAHRAN	0035790X	646 HIGH STREET	PRAHRAN EAST	3181																																												
PUBLIC	QLD	CAIRNS BASE HOSPITAL	0050230T	165 THE ESPLANADE	CAIRNS	4870																																												
PRIVATE	QLD	CAIRNS PRIVATE HOSPITAL	0055220Y	1 UPWARD STREET	CAIRNS	4870																																												
PUBLIC	QLD	CALOUNDRA HOSPITAL	0051500A	WEST TERRACE	CALOUNDRA	4551																																												
PRIVATE	TAS	CALVARY - LENAH VALLEY HOSPITAL	0085010F	49 AUGUSTA ROAD	LENAH VALLEY	7008																																												
PRIVATE	TAS	CALVARY - ST JOHN'S HOSPITAL	0085010F	30 CASCADE ROAD	SOUTH HOBART	7004																																												
PRIVATE	TAS	CALVARY - ST LUKE'S HOSPITAL	0085080L	24 LYTTLETON STREET	LAUNCESTON	7250																																												
PRIVATE	TAS	CALVARY - ST VINCENT'S HOSPITAL	0085080L	5 FREDERICK STREET	LAUNCESTON	7250																																												
PRIVATE	SA	CALVARY ADELAIDE HOSPITAL	0065360T & 0065070B	120 ANGAS STREET	ADELAIDE	5000																																												
PRIVATE	ACT	CALVARY BRUCE PRIVATE HOSPITAL	0015000J	30 MARY POTTER CIRCUIT 	BRUCE	2617																																												
PRIVATE	SA	CALVARY CENTRAL DISTRICTS HOSPITAL	0065810F	25-37 JARVIS ROAD	ELIZABETH VALE	5112																																												
PRIVATE	SA	CALVARY CONNERY CENTRE	0065810F	46 JOHN RICE AVENUE	ELIZABETH VALE	5112																																												
PUBLIC	VIC	CALVARY HEALTH CARE BETHLEHEM	0031480Y	476 KOOYONG ROAD	CAULFIELD	3162																																												
PUBLIC	NSW	CALVARY HEALTH CARE SYDNEY LTD	0012520J	91-101 ROCKY POINT ROAD	KOGARAH	2217																																												
PRIVATE	ACT	CALVARY JOHN JAMES HOSPITAL	0091010Y	173 STRICKLAND CRESCENT 	DEAKIN	2600																																												
PUBLIC	NSW	CALVARY MATER NEWCASTLE	0011870W	20 EDITH STREET	WARATAH	2298																																												
PRIVATE	SA	CALVARY NORTH ADELAIDE HOSPITAL	0065060F	89 STRANGWAYS TERRACE	NORTH ADELAIDE	5006																																												
PRIVATE	NSW	CALVARY RIVERINA HOSPITAL	0016860A	HARDY AVENUE	WAGGA WAGGA	2650																																												
PRIVATE	NSW	CALVARY RIVERINA SURGICENTRE	0988261T	"329, 331, 333 EDWARD STREET"	WAGGA WAGGA	2650																																												
PRIVATE	VIC	CAMBERWELL DAY SURGERY	0656581F	27 DENMARK HILL ROAD	HAWTHORN EAST	3123																																												
PRIVATE	WA	CAMBRIDGE DAY SURGERY	0075650K	"SUITE 12, 178 CAMBRIDGE STREET"	WEMBLEY	6014																																												
PUBLIC	NSW	CAMDEN HOSPITAL	0010870B	65 MENANGLE ROAD	CAMDEN	2570																																												
PRIVATE	NSW	CAMDEN SURGICAL HOSPITAL	0017690W	35 HILDER STREET	ELDERSLIE	2570																																												
PUBLIC	TAS	CAMPBELL TOWN HEALTH AND COMMUNITY SERVICE	0080100Y	70 HIGH STREET	CAMPBELL TOWN	7210																																												
PUBLIC	NSW	CAMPBELLTOWN HOSPITAL	0012750W	THERRY ROAD	CAMPBELLTOWN	2560																																												
PRIVATE	NSW	CAMPBELLTOWN PRIVATE HOSPITAL	0017290K	42 PARKSIDE CRESCENT	CAMPBELLTOWN	2560																																												
PRIVATE	NSW	CAMPSIE DAY SURGERY	0027390L	56 CAMPSIE STREET	CAMPSIE	2194																																												
PRIVATE	ACT	CANBERRA IMAGING GROUP	0097030L	173 STRICKLAND CRESCENT	DEAKIN	2600																																												
PRIVATE	ACT	CANBERRA MICROSURGERY	0097050J	16 WILBOW STREET	PHILLIP	2606																																												
PRIVATE	ACT	CANBERRA PRIVATE HOSPITAL	0095130B	"EQUINOX BUSINESS PARK, BUILDING 2 LEVEL 2/3, 70 KENT STREET"	DEAKIN	2600																																												
PRIVATE	ACT	CANBERRA REGION NEUROLOGY AND PAIN CENTRE	0097070F	"UNITS 2-4 CORINNA CHAMBERS, 36-38 CORINNA STREET"	PHILLIP	2606																																												
PRIVATE	ACT	CANBERRA SURGICENTRE	0988281K	"SUITE 2, SCALA HOUSE TORRENS, 11 TORRENS STREET"	BRADDON	2612																																												
PRIVATE 	NSW	CANCER CARE GRIFFITH 	0017710H	115-119 BINYA STREET	GRIFFITH	2680																																												
PRIVATE	NSW	CANCER CARE MACARTHUR	0017740A	218 QUEEN STREET	CAMPBELLTOWN	2560																																												
PRIVATE	NSW	CANCER CARE WOLLONGONG	0936951X	410 CROWN STREET	WOLLONGONG	2500																																												
PRIVATE	WA	CANNINGTON DIALYSIS CLINIC 	0077240L	13-15 LEILA STREET	CANNINGTON	6107																																												
PRIVATE	QLD	CANOSSA PRIVATE HOSPITAL	0055580X	169 SEVENTEEN MILE ROCKS ROAD	OXLEY	4075																																												
PUBLIC	NSW	CANOWINDRA SOLDIERS MEMORIAL HOSPITAL	0010890Y	BROWNS AVENUE	CANOWINDRA	2804																																												
PUBLIC	NSW	CANTERBURY HOSPITAL	0010090J	575 CANTERBURY ROAD	CAMPSIE	2194																																												
PUBLIC	QLD	CAPRICORN COAST HOSPITAL AND HEALTH SERVICE	0051390L	8 HOSKYN DRIVE	YEPPOON	4703																																												
PUBLIC	VIC	CARITAS CHRISTI HOSPICE	0030210H	104 STUDLEY PARK ROAD	KEW	3101																																												
PUBLIC	WA	CARNARVON HOSPITAL	0070160B	CLEAVER STREET	CARNARVON	6701																																												
